"Country or Area","Year","Area","Sex","Age","Occupation","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Australia","2016","Total","Both Sexes","80 - 84","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","278","1"
"Australia","2016","Total","Both Sexes","80 - 84","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","244","1"
"Australia","2016","Total","Both Sexes","80 - 84","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","335","1"
"Australia","2016","Total","Both Sexes","80 - 84","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","296","1"
"Australia","2016","Total","Both Sexes","80 - 84","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","198","1"
"Australia","2016","Total","Both Sexes","80 - 84","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","104","1"
"Australia","2016","Total","Both Sexes","80 - 84","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","263","1"
"Australia","2016","Total","Both Sexes","80 - 84","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","145","1"
"Australia","2016","Total","Both Sexes","80 - 84","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","436","1"
"Australia","2016","Total","Both Sexes","80 - 84","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","3438","1"
"Australia","2016","Total","Both Sexes","85 - 89","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","0","1"
"Australia","2016","Total","Both Sexes","85 - 89","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","143","1"
"Australia","2016","Total","Both Sexes","85 - 89","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","197","1"
"Australia","2016","Total","Both Sexes","85 - 89","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","84","1"
"Australia","2016","Total","Both Sexes","85 - 89","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","69","1"
"Australia","2016","Total","Both Sexes","85 - 89","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","81","1"
"Australia","2016","Total","Both Sexes","85 - 89","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","120","1"
"Australia","2016","Total","Both Sexes","85 - 89","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","60","1"
"Australia","2016","Total","Both Sexes","85 - 89","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","27","1"
"Australia","2016","Total","Both Sexes","85 - 89","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","71","1"
"Australia","2016","Total","Both Sexes","85 - 89","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","62","1"
"Australia","2016","Total","Both Sexes","85 - 89","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","211","1"
"Australia","2016","Total","Both Sexes","85 - 89","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","1125","1"
"Australia","2016","Total","Both Sexes","90 - 94","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","0","1"
"Australia","2016","Total","Both Sexes","90 - 94","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","45","1"
"Australia","2016","Total","Both Sexes","90 - 94","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","61","1"
"Australia","2016","Total","Both Sexes","90 - 94","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","26","1"
"Australia","2016","Total","Both Sexes","90 - 94","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","13","1"
"Australia","2016","Total","Both Sexes","90 - 94","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","27","1"
"Australia","2016","Total","Both Sexes","90 - 94","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","22","1"
"Australia","2016","Total","Both Sexes","90 - 94","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","22","1"
"Australia","2016","Total","Both Sexes","90 - 94","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","8","1"
"Australia","2016","Total","Both Sexes","90 - 94","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","22","1"
"Australia","2016","Total","Both Sexes","90 - 94","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","23","1"
"Australia","2016","Total","Both Sexes","90 - 94","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","61","1"
"Australia","2016","Total","Both Sexes","90 - 94","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","330","1"
"Australia","2016","Total","Both Sexes","95 - 99","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","0","1"
"Australia","2016","Total","Both Sexes","95 - 99","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","29","1"
"Australia","2016","Total","Both Sexes","95 - 99","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","49","1"
"Australia","2016","Total","Both Sexes","95 - 99","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","21","1"
"Australia","2016","Total","Both Sexes","95 - 99","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","14","1"
"Australia","2016","Total","Both Sexes","95 - 99","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","23","1"
"Australia","2016","Total","Both Sexes","95 - 99","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","3","1"
"Australia","2016","Total","Both Sexes","95 - 99","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","13","1"
"Australia","2016","Total","Both Sexes","95 - 99","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","13","1"
"Australia","2016","Total","Both Sexes","95 - 99","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","15","1"
"Australia","2016","Total","Both Sexes","95 - 99","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","20","1"
"Australia","2016","Total","Both Sexes","95 - 99","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","21","1"
"Australia","2016","Total","Both Sexes","95 - 99","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","221","1"
"Australia","2016","Total","Both Sexes","100 +","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","0","1"
"Australia","2016","Total","Both Sexes","100 +","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","4","1"
"Australia","2016","Total","Both Sexes","100 +","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","8","1"
"Australia","2016","Total","Both Sexes","100 +","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","8","1"
"Australia","2016","Total","Both Sexes","100 +","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","0","1"
"Australia","2016","Total","Both Sexes","100 +","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","4","1"
"Australia","2016","Total","Both Sexes","100 +","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","0","1"
"Australia","2016","Total","Both Sexes","100 +","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","0","1"
"Australia","2016","Total","Both Sexes","100 +","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","0","1"
"Australia","2016","Total","Both Sexes","100 +","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","3","1"
"Australia","2016","Total","Both Sexes","100 +","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","3","1"
"Australia","2016","Total","Both Sexes","100 +","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","3","1"
"Australia","2016","Total","Both Sexes","100 +","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","33","1"
"Australia","2016","Total","Male","15 - 19","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","138","1"
"Australia","2016","Total","Male","15 - 19","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","411","1"
"Australia","2016","Total","Male","15 - 19","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","977","1"
"Australia","2016","Total","Male","15 - 19","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","1422","1"
"Australia","2016","Total","Male","15 - 19","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","902","1"
"Australia","2016","Total","Male","15 - 19","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","10565","1"
"Australia","2016","Total","Male","15 - 19","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","214","1"
"Australia","2016","Total","Male","15 - 19","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","3120","1"
"Australia","2016","Total","Male","15 - 19","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","1325","1"
"Australia","2016","Total","Male","15 - 19","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","10042","1"
"Australia","2016","Total","Male","15 - 19","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","12826","1"
"Australia","2016","Total","Male","15 - 19","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","978","1"
"Australia","2016","Total","Male","15 - 19","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","42920","1"
"Australia","2016","Total","Male","15 +","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","3107","1"
"Australia","2016","Total","Male","15 +","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","235713","1"
"Australia","2016","Total","Male","15 +","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","380754","1"
"Australia","2016","Total","Male","15 +","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","190074","1"
"Australia","2016","Total","Male","15 +","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","73756","1"
"Australia","2016","Total","Male","15 +","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","172204","1"
"Australia","2016","Total","Male","15 +","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","21781","1"
"Australia","2016","Total","Male","15 +","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","241608","1"
"Australia","2016","Total","Male","15 +","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","176107","1"
"Australia","2016","Total","Male","15 +","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","196198","1"
"Australia","2016","Total","Male","15 +","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","137383","1"
"Australia","2016","Total","Male","15 +","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","48357","1"
"Australia","2016","Total","Male","15 +","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","1877042","1"
"Australia","2016","Total","Male","20 - 24","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","410","1"
"Australia","2016","Total","Male","20 - 24","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","3702","1"
"Australia","2016","Total","Male","20 - 24","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","9705","1"
"Australia","2016","Total","Male","20 - 24","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","8512","1"
"Australia","2016","Total","Male","20 - 24","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","4552","1"
"Australia","2016","Total","Male","20 - 24","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","24019","1"
"Australia","2016","Total","Male","20 - 24","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","1041","1"
"Australia","2016","Total","Male","20 - 24","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","13237","1"
"Australia","2016","Total","Male","20 - 24","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","8313","1"
"Australia","2016","Total","Male","20 - 24","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","24383","1"
"Australia","2016","Total","Male","20 - 24","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","21468","1"
"Australia","2016","Total","Male","20 - 24","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","3674","1"
"Australia","2016","Total","Male","20 - 24","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","123016","1"
"Australia","2016","Total","Male","25 - 29","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","387","1"
"Australia","2016","Total","Male","25 - 29","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","15074","1"
"Australia","2016","Total","Male","25 - 29","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","39970","1"
"Australia","2016","Total","Male","25 - 29","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","22364","1"
"Australia","2016","Total","Male","25 - 29","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","8842","1"
"Australia","2016","Total","Male","25 - 29","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","26036","1"
"Australia","2016","Total","Male","25 - 29","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","1869","1"
"Australia","2016","Total","Male","25 - 29","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","24922","1"
"Australia","2016","Total","Male","25 - 29","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","16697","1"
"Australia","2016","Total","Male","25 - 29","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","28815","1"
"Australia","2016","Total","Male","25 - 29","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","17923","1"
"Australia","2016","Total","Male","25 - 29","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","5625","1"
"Australia","2016","Total","Male","25 - 29","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","208524","1"
"Australia","2016","Total","Male","30 - 34","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","354","1"
"Australia","2016","Total","Male","30 - 34","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","29004","1"
"Australia","2016","Total","Male","30 - 34","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","66939","1"
"Australia","2016","Total","Male","30 - 34","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","30734","1"
"Australia","2016","Total","Male","30 - 34","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","11646","1"
"Australia","2016","Total","Male","30 - 34","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","23487","1"
"Australia","2016","Total","Male","30 - 34","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","1975","1"
"Australia","2016","Total","Male","30 - 34","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","30654","1"
"Australia","2016","Total","Male","30 - 34","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","22572","1"
"Australia","2016","Total","Male","30 - 34","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","24943","1"
"Australia","2016","Total","Male","30 - 34","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","14346","1"
"Australia","2016","Total","Male","30 - 34","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","6541","1"
"Australia","2016","Total","Male","30 - 34","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","263195","1"
"Australia","2016","Total","Male","35 - 39","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","324","1"
"Australia","2016","Total","Male","35 - 39","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","33003","1"
"Australia","2016","Total","Male","35 - 39","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","65103","1"
"Australia","2016","Total","Male","35 - 39","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","27362","1"
"Australia","2016","Total","Male","35 - 39","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","10228","1"
"Australia","2016","Total","Male","35 - 39","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","17609","1"
"Australia","2016","Total","Male","35 - 39","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","1815","1"
"Australia","2016","Total","Male","35 - 39","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","28674","1"
"Australia","2016","Total","Male","35 - 39","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","19852","1"
"Australia","2016","Total","Male","35 - 39","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","19070","1"
"Australia","2016","Total","Male","35 - 39","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","12120","1"
"Australia","2016","Total","Male","35 - 39","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","5712","1"
"Australia","2016","Total","Male","35 - 39","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","240872","1"
"Australia","2016","Total","Male","40 - 44","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","324","1"
"Australia","2016","Total","Male","40 - 44","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","33486","1"
"Australia","2016","Total","Male","40 - 44","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","51248","1"
"Australia","2016","Total","Male","40 - 44","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","22733","1"
"Australia","2016","Total","Male","40 - 44","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","7894","1"
"Australia","2016","Total","Male","40 - 44","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","14081","1"
"Australia","2016","Total","Male","40 - 44","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","2062","1"
"Australia","2016","Total","Male","40 - 44","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","27875","1"
"Australia","2016","Total","Male","40 - 44","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","18294","1"
"Australia","2016","Total","Male","40 - 44","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","15979","1"
"Australia","2016","Total","Male","40 - 44","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","10947","1"
"Australia","2016","Total","Male","40 - 44","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","5131","1"
"Australia","2016","Total","Male","40 - 44","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","210054","1"
"Australia","2016","Total","Male","45 - 49","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","442","1"
"Australia","2016","Total","Male","45 - 49","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","33477","1"
"Australia","2016","Total","Male","45 - 49","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","40997","1"
"Australia","2016","Total","Male","45 - 49","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","20853","1"
"Australia","2016","Total","Male","45 - 49","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","7344","1"
"Australia","2016","Total","Male","45 - 49","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","13645","1"
"Australia","2016","Total","Male","45 - 49","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","2285","1"
"Australia","2016","Total","Male","45 - 49","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","29475","1"
"Australia","2016","Total","Male","45 - 49","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","20897","1"
"Australia","2016","Total","Male","45 - 49","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","16478","1"
"Australia","2016","Total","Male","45 - 49","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","10909","1"
"Australia","2016","Total","Male","45 - 49","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","5137","1"
"Australia","2016","Total","Male","45 - 49","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","201939","1"
"Australia","2016","Total","Male","50 - 54","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","420","1"
"Australia","2016","Total","Male","50 - 54","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","32940","1"
"Australia","2016","Total","Male","50 - 54","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","36422","1"
"Australia","2016","Total","Male","50 - 54","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","20463","1"
"Australia","2016","Total","Male","50 - 54","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","7330","1"
"Australia","2016","Total","Male","50 - 54","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","13748","1"
"Australia","2016","Total","Male","50 - 54","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","2578","1"
"Australia","2016","Total","Male","50 - 54","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","30388","1"
"Australia","2016","Total","Male","50 - 54","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","23433","1"
"Australia","2016","Total","Male","50 - 54","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","17747","1"
"Australia","2016","Total","Male","50 - 54","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","11733","1"
"Australia","2016","Total","Male","50 - 54","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","5193","1"
"Australia","2016","Total","Male","50 - 54","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","202395","1"
"Australia","2016","Total","Male","55 - 59","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","237","1"
"Australia","2016","Total","Male","55 - 59","Legislators, senior officials and managers (ISCO 88 - 1)","Census - de jure - complete tabulation","Final figure, complete","2017","24969","1"
"Australia","2016","Total","Male","55 - 59","Professionals (ISCO 88 - 2)","Census - de jure - complete tabulation","Final figure, complete","2017","28814","1"
"Australia","2016","Total","Male","55 - 59","Technicians and associate professionals (ISCO 88 - 3)","Census - de jure - complete tabulation","Final figure, complete","2017","16152","1"
"Australia","2016","Total","Male","55 - 59","Clerks (ISCO 88 - 4)","Census - de jure - complete tabulation","Final figure, complete","2017","6347","1"
"Australia","2016","Total","Male","55 - 59","Service workers and shop and market sales workers (ISCO 88 - 5)","Census - de jure - complete tabulation","Final figure, complete","2017","11696","1"
"Australia","2016","Total","Male","55 - 59","Skilled agricultural and fishery workers (ISCO 88 - 6)","Census - de jure - complete tabulation","Final figure, complete","2017","2342","1"
"Australia","2016","Total","Male","55 - 59","Craft and related trades workers (ISCO 88 - 7)","Census - de jure - complete tabulation","Final figure, complete","2017","24713","1"
"Australia","2016","Total","Male","55 - 59","Plant and machine operators and assemblers (ISCO 88 - 8)","Census - de jure - complete tabulation","Final figure, complete","2017","20745","1"
"Australia","2016","Total","Male","55 - 59","Elementary occupations (ISCO 88 - 9)","Census - de jure - complete tabulation","Final figure, complete","2017","16213","1"
"Australia","2016","Total","Male","55 - 59","Unemployed","Census - de jure - complete tabulation","Final figure, complete","2017","11029","1"
"Australia","2016","Total","Male","55 - 59","Workers Not Classifiable by Occupation (ISCO 88 - X)","Census - de jure - complete tabulation","Final figure, complete","2017","4095","1"
"Australia","2016","Total","Male","55 - 59","Total (ISCO 88)","Census - de jure - complete tabulation","Final figure, complete","2017","167352","1"
"Australia","2016","Total","Male","60 - 64","Armed forces (ISCO 88 - 0)","Census - de jure - complete tabulation","Final figure, complete","2017","62","1"
