"Country or Area","Year","Area","Sex","Age","Educational attainment","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Colombia","2018","Total","Male","30 - 34","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","239180",""
"Colombia","2018","Total","Male","30 - 34","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","68313",""
"Colombia","2018","Total","Male","30 - 34","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","3394",""
"Colombia","2018","Total","Male","30 - 34","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","31601",""
"Colombia","2018","Total","Male","30 - 34","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","1649783",""
"Colombia","2018","Total","Male","35 - 39","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","52169",""
"Colombia","2018","Total","Male","35 - 39","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","921",""
"Colombia","2018","Total","Male","35 - 39","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","332112",""
"Colombia","2018","Total","Male","35 - 39","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","176258",""
"Colombia","2018","Total","Male","35 - 39","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","513544",""
"Colombia","2018","Total","Male","35 - 39","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","1785",""
"Colombia","2018","Total","Male","35 - 39","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","176389",""
"Colombia","2018","Total","Male","35 - 39","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","196682",""
"Colombia","2018","Total","Male","35 - 39","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","78992",""
"Colombia","2018","Total","Male","35 - 39","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","4574",""
"Colombia","2018","Total","Male","35 - 39","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","26991",""
"Colombia","2018","Total","Male","35 - 39","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","1560417",""
"Colombia","2018","Total","Male","40 - 44","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","56422",""
"Colombia","2018","Total","Male","40 - 44","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","739",""
"Colombia","2018","Total","Male","40 - 44","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","366125",""
"Colombia","2018","Total","Male","40 - 44","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","152627",""
"Colombia","2018","Total","Male","40 - 44","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","377407",""
"Colombia","2018","Total","Male","40 - 44","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","1279",""
"Colombia","2018","Total","Male","40 - 44","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","119725",""
"Colombia","2018","Total","Male","40 - 44","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","144787",""
"Colombia","2018","Total","Male","40 - 44","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","64350",""
"Colombia","2018","Total","Male","40 - 44","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","4332",""
"Colombia","2018","Total","Male","40 - 44","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","20535",""
"Colombia","2018","Total","Male","40 - 44","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","1308328",""
"Colombia","2018","Total","Male","45 - 49","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","62661",""
"Colombia","2018","Total","Male","45 - 49","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","740",""
"Colombia","2018","Total","Male","45 - 49","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","413727",""
"Colombia","2018","Total","Male","45 - 49","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","157145",""
"Colombia","2018","Total","Male","45 - 49","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","326381",""
"Colombia","2018","Total","Male","45 - 49","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","1006",""
"Colombia","2018","Total","Male","45 - 49","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","92226",""
"Colombia","2018","Total","Male","45 - 49","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","115588",""
"Colombia","2018","Total","Male","45 - 49","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","53090",""
"Colombia","2018","Total","Male","45 - 49","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","4069",""
"Colombia","2018","Total","Male","45 - 49","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","19196",""
"Colombia","2018","Total","Male","45 - 49","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","1245829",""
"Colombia","2018","Total","Male","50 - 54","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","73725",""
"Colombia","2018","Total","Male","50 - 54","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","738",""
"Colombia","2018","Total","Male","50 - 54","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","431457",""
"Colombia","2018","Total","Male","50 - 54","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","163876",""
"Colombia","2018","Total","Male","50 - 54","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","286876",""
"Colombia","2018","Total","Male","50 - 54","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","829",""
"Colombia","2018","Total","Male","50 - 54","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","79526",""
"Colombia","2018","Total","Male","50 - 54","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","104572",""
"Colombia","2018","Total","Male","50 - 54","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","49593",""
"Colombia","2018","Total","Male","50 - 54","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","4318",""
"Colombia","2018","Total","Male","50 - 54","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","18398",""
"Colombia","2018","Total","Male","50 - 54","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","1213908",""
"Colombia","2018","Total","Male","55 - 59","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","79880",""
"Colombia","2018","Total","Male","55 - 59","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","735",""
"Colombia","2018","Total","Male","55 - 59","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","400486",""
"Colombia","2018","Total","Male","55 - 59","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","141610",""
"Colombia","2018","Total","Male","55 - 59","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","219767",""
"Colombia","2018","Total","Male","55 - 59","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","741",""
"Colombia","2018","Total","Male","55 - 59","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","60039",""
"Colombia","2018","Total","Male","55 - 59","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","91059",""
"Colombia","2018","Total","Male","55 - 59","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","41976",""
"Colombia","2018","Total","Male","55 - 59","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","4147",""
"Colombia","2018","Total","Male","55 - 59","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","16802",""
"Colombia","2018","Total","Male","55 - 59","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","1057242",""
"Colombia","2018","Total","Male","60 - 64","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","80908",""
"Colombia","2018","Total","Male","60 - 64","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","736",""
"Colombia","2018","Total","Male","60 - 64","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","354977",""
"Colombia","2018","Total","Male","60 - 64","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","100938",""
"Colombia","2018","Total","Male","60 - 64","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","139313",""
"Colombia","2018","Total","Male","60 - 64","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","821",""
"Colombia","2018","Total","Male","60 - 64","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","40069",""
"Colombia","2018","Total","Male","60 - 64","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","76214",""
"Colombia","2018","Total","Male","60 - 64","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","32124",""
"Colombia","2018","Total","Male","60 - 64","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","2980",""
"Colombia","2018","Total","Male","60 - 64","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","11054",""
"Colombia","2018","Total","Male","60 - 64","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","840134",""
"Colombia","2018","Total","Male","65 - 69","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","76386",""
"Colombia","2018","Total","Male","65 - 69","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","657",""
"Colombia","2018","Total","Male","65 - 69","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","304551",""
"Colombia","2018","Total","Male","65 - 69","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","66441",""
"Colombia","2018","Total","Male","65 - 69","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","79828",""
"Colombia","2018","Total","Male","65 - 69","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","683",""
"Colombia","2018","Total","Male","65 - 69","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","25561",""
"Colombia","2018","Total","Male","65 - 69","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","55870",""
"Colombia","2018","Total","Male","65 - 69","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","20539",""
"Colombia","2018","Total","Male","65 - 69","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","1933",""
"Colombia","2018","Total","Male","65 - 69","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","7323",""
"Colombia","2018","Total","Male","65 - 69","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","639772",""
"Colombia","2018","Total","Male","70 - 74","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","68145",""
"Colombia","2018","Total","Male","70 - 74","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","542",""
"Colombia","2018","Total","Male","70 - 74","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","238374",""
"Colombia","2018","Total","Male","70 - 74","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","39333",""
"Colombia","2018","Total","Male","70 - 74","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","44751",""
"Colombia","2018","Total","Male","70 - 74","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","550",""
"Colombia","2018","Total","Male","70 - 74","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","14284",""
"Colombia","2018","Total","Male","70 - 74","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","34756",""
"Colombia","2018","Total","Male","70 - 74","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","11032",""
"Colombia","2018","Total","Male","70 - 74","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","1154",""
"Colombia","2018","Total","Male","70 - 74","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","4851",""
"Colombia","2018","Total","Male","70 - 74","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","457772",""
"Colombia","2018","Total","Male","75 - 79","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","61869",""
"Colombia","2018","Total","Male","75 - 79","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","453",""
"Colombia","2018","Total","Male","75 - 79","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","177626",""
"Colombia","2018","Total","Male","75 - 79","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","22899",""
"Colombia","2018","Total","Male","75 - 79","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","25197",""
"Colombia","2018","Total","Male","75 - 79","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","420",""
"Colombia","2018","Total","Male","75 - 79","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","7476",""
"Colombia","2018","Total","Male","75 - 79","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","19496",""
"Colombia","2018","Total","Male","75 - 79","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","5419",""
"Colombia","2018","Total","Male","75 - 79","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","700",""
"Colombia","2018","Total","Male","75 - 79","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","3669",""
"Colombia","2018","Total","Male","75 - 79","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","325224",""
"Colombia","2018","Total","Male","80 - 84","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","46887",""
"Colombia","2018","Total","Male","80 - 84","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","362",""
"Colombia","2018","Total","Male","80 - 84","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","112767",""
"Colombia","2018","Total","Male","80 - 84","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","12241",""
"Colombia","2018","Total","Male","80 - 84","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","13693",""
"Colombia","2018","Total","Male","80 - 84","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","221",""
"Colombia","2018","Total","Male","80 - 84","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","3746",""
"Colombia","2018","Total","Male","80 - 84","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","10056",""
"Colombia","2018","Total","Male","80 - 84","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","2462",""
"Colombia","2018","Total","Male","80 - 84","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","402",""
"Colombia","2018","Total","Male","80 - 84","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","2591",""
"Colombia","2018","Total","Male","80 - 84","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","205428",""
"Colombia","2018","Total","Male","85 - 89","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","27788",""
"Colombia","2018","Total","Male","85 - 89","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","223",""
"Colombia","2018","Total","Male","85 - 89","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","59496",""
"Colombia","2018","Total","Male","85 - 89","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","5854",""
"Colombia","2018","Total","Male","85 - 89","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","6827",""
"Colombia","2018","Total","Male","85 - 89","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","119",""
"Colombia","2018","Total","Male","85 - 89","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","1738",""
"Colombia","2018","Total","Male","85 - 89","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","4945",""
"Colombia","2018","Total","Male","85 - 89","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","938",""
"Colombia","2018","Total","Male","85 - 89","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","192",""
"Colombia","2018","Total","Male","85 - 89","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","1531",""
"Colombia","2018","Total","Male","85 - 89","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","109651",""
"Colombia","2018","Total","Male","90 - 94","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","11593",""
"Colombia","2018","Total","Male","90 - 94","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","86",""
"Colombia","2018","Total","Male","90 - 94","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","22205",""
"Colombia","2018","Total","Male","90 - 94","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","1931",""
"Colombia","2018","Total","Male","90 - 94","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","2391",""
"Colombia","2018","Total","Male","90 - 94","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","39",""
"Colombia","2018","Total","Male","90 - 94","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","610",""
"Colombia","2018","Total","Male","90 - 94","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","1855",""
"Colombia","2018","Total","Male","90 - 94","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","327",""
"Colombia","2018","Total","Male","90 - 94","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","79",""
"Colombia","2018","Total","Male","90 - 94","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","666",""
"Colombia","2018","Total","Male","90 - 94","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","41782",""
"Colombia","2018","Total","Male","95 - 99","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","3303",""
"Colombia","2018","Total","Male","95 - 99","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","35",""
"Colombia","2018","Total","Male","95 - 99","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","5560",""
"Colombia","2018","Total","Male","95 - 99","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","519",""
"Colombia","2018","Total","Male","95 - 99","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","727",""
"Colombia","2018","Total","Male","95 - 99","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","19",""
"Colombia","2018","Total","Male","95 - 99","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","212",""
"Colombia","2018","Total","Male","95 - 99","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","546",""
"Colombia","2018","Total","Male","95 - 99","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","88",""
"Colombia","2018","Total","Male","95 - 99","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","33",""
"Colombia","2018","Total","Male","95 - 99","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","249",""
"Colombia","2018","Total","Male","95 - 99","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","11291",""
"Colombia","2018","Total","Male","100 +","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","1061",""
"Colombia","2018","Total","Male","100 +","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","24",""
"Colombia","2018","Total","Male","100 +","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","1918",""
"Colombia","2018","Total","Male","100 +","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","394",""
"Colombia","2018","Total","Male","100 +","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","799",""
"Colombia","2018","Total","Male","100 +","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","5",""
"Colombia","2018","Total","Male","100 +","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","208",""
"Colombia","2018","Total","Male","100 +","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","492",""
"Colombia","2018","Total","Male","100 +","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","130",""
"Colombia","2018","Total","Male","100 +","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","37",""
"Colombia","2018","Total","Male","100 +","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","226",""
"Colombia","2018","Total","Male","100 +","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","5294",""
"Colombia","2018","Total","Female","15 - 19","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","17045",""
"Colombia","2018","Total","Female","15 - 19","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","1051",""
"Colombia","2018","Total","Female","15 - 19","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","85789",""
"Colombia","2018","Total","Female","15 - 19","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","600923",""
"Colombia","2018","Total","Female","15 - 19","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","864210",""
"Colombia","2018","Total","Female","15 - 19","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","2707",""
"Colombia","2018","Total","Female","15 - 19","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","122766",""
"Colombia","2018","Total","Female","15 - 19","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","164080",""
"Colombia","2018","Total","Female","15 - 19","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","591",""
"Colombia","2018","Total","Female","15 - 19","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","339",""
"Colombia","2018","Total","Female","15 - 19","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","22224",""
"Colombia","2018","Total","Female","15 - 19","ISCED 2011, Total","Census - de jure - complete tabulation","Final figure, complete","2020","1881725",""
"Colombia","2018","Total","Female","15 +","ISCED 2011, No education","Census - de jure - complete tabulation","Final figure, complete","2020","859465",""
"Colombia","2018","Total","Female","15 +","ISCED 2011, level 0 – Early childhood education","Census - de jure - complete tabulation","Final figure, complete","2020","11887",""
"Colombia","2018","Total","Female","15 +","ISCED 2011, level 1 – Primary education","Census - de jure - complete tabulation","Final figure, complete","2020","4083848",""
"Colombia","2018","Total","Female","15 +","ISCED 2011, level 2 – Lower secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","2393990",""
"Colombia","2018","Total","Female","15 +","ISCED 2011, level 3 – Upper secondary education","Census - de jure - complete tabulation","Final figure, complete","2020","5212252",""
"Colombia","2018","Total","Female","15 +","ISCED 2011, level 4 – Post-secondary non-tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","43077",""
"Colombia","2018","Total","Female","15 +","ISCED 2011, level 5 – Short-cycle tertiary education","Census - de jure - complete tabulation","Final figure, complete","2020","1956797",""
"Colombia","2018","Total","Female","15 +","ISCED 2011, level 6 – Bachelor’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","2280688",""
"Colombia","2018","Total","Female","15 +","ISCED 2011, level 7 – Master’s or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","590078",""
"Colombia","2018","Total","Female","15 +","ISCED 2011, level 8 – Doctoral or equivalent level","Census - de jure - complete tabulation","Final figure, complete","2020","32547",""
"Colombia","2018","Total","Female","15 +","ISCED 2011, Unknown","Census - de jure - complete tabulation","Final figure, complete","2020","255087",""
