Nombre o título de la categoría de información,Descripción del contenido la categoría de información,Idioma,Medio de conservación o soporte,Formato,Disponibilidad de la información,Lugar de consulta o ubicación física,Lugar de publicación
Contratos de Arrendamiento,"Este activo de información se encuentra en expediente conformado por los siguientes tipos documentales: Solicitud de contratación, Estudios Previos, Solicitud y Certificado de Disponibilidad Presupuestal, Autorización vigencias futuras (Si aplica), Formato único hoja de vida persona natural o de persona jurídica descargado de la página respectiva del Departamento Administrativo de la Función Pública validado en el portal del SIGEP. (Según corresponda), Copia del documento de identidad (cedula de ciudadanía o el que corresponda) del futuro contratista o del representante legal, si es persona jurídica, (según corresponda), Copia de la libreta militar (Obligatorio para hombre menores de 50 años) o certificación de servicio militar (según el caso), Certificado de existencia y representación legal. (si aplica), Autorización de la Junta o órgano competente, para suscribir contratos. (si aplica), Copia de las certificaciones o actas de liquidación que acrediten la experiencia de la persona a contratar, Certificado de consulta de antecedentes de responsabilidad fiscal expedido por la Contraloría General de la República, Certificado de consulta de antecedentes disciplinarios expedido por la Procuraduría General de la Nación, Certificado de consulta de antecedentes judiciales expedido por la Policía Nacional de Colombia, Certificado del Registro de Medidas Correctivas expedido por la Policía Nacional de Colombia, Certificación de antecedentes disciplinarios expedida por el órgano competente, según profesión, Documento que acredite la afiliación y encontrase al día con el Sistema General de Seguridad Social Integral y/o constancia del último pago efectuado (Vigentes al momento de celebrar el contrato), Registro Único Tributario-RUT. Certificación Bancaria vigente. Declaración Juramentada de inhabilidades e incompatibilidades y conflicto de interés, Contrato – Cláusulas Adicionales al Contrato, Acuerdo de Confidencialidad (cuando aplique), Registro Presupuestal, Garantías y sus anexos, Aprobación de Garantías, Comunicación al Supervisor o interventor, Acta de Inicio, Designación en cambios de Supervisión (cuando aplique), Órdenes de pago con Anexos (Certificado de Supervisión, Informe de actividades del contratista, Cuenta de Cobro o Factura si aplica, productos, (si aplica), Copia de la planilla de pago de aportes al sistema de seguridad social integral (salud, pensiones y ARL) o certificación del pago de los mismos.), Modificaciones contractuales (Adiciones, prórrogas, suspensión, reinicio, etc.) con sus respectivos soportes, Solicitud Cesión del Contrato y sus soportes, Solicitud Terminación Anticipada del Contrato y sus soportes, Certificación pago Final, Informe Final de Supervisión y Soportes, Acta de liquidación de mutuo acuerdo y sus soportes, o Acta de Cierre, según proceda. Todo lo anterior conforme con las TRD https://www.icfes.gov.co/web/guest/tablas-de-retencion-documental.",Español,Físico -Electrónico- Digital,No aplica,Disponible,N/A,N/A
Informes de Austeridad del gasto,"En cumplimiento a la Directiva Presidencia 09 del 9 de noviembre de 2018, de conformidad con la política pública de austeridad, eficiencia, economía y efectividad que debe prevalecer en la rama ejecutiva del orden nacional, este activo contiene información sobre el cumplimiento de las directrices de austeridad en el gasto que deben realizarse con base en las definiciones dadas dentro del documento Anexo Técnico para el Aplicativo de Medición de la Austeridad en el Gasto Público. Este documento examina en consecuencia y en detalle, los rubros presupuestales que la Directiva tiene encuentra según los conceptos de gasto involucrados relativos a este sistema de información, buscando así, precisar los tipos de gasto (en los presupuestos de funcionamiento o inversión).",Español,Físico -Electrónico- Digital,Texto,Publicada,Archivo de Gestión Subdirección Financiera y Contable,https://www.icfes.gov.co/web/guest/informes-de-gestion-evaluacion-y-auditoria
Instrumentos de Control de Operaciones de Caja Menor,"Todas los requerimientos de caja menor se realizan a través de la mesa de servicio y en el módulo del ERP, el cual permite que soliciten cantidades, valor y justificación.",Español,Electrónico - Digital,Hoja de cálculo,Disponible,Archivo de Gestión del profesional de Viáticos y Caja Menor de la Subdirección de Abastecimiento y Servicios Generales,N/A
Contratos de Compraventa,"Este activo de información se encuentra en expediente conformado por los siguientes tipos documentales: Solicitud de contratación, Estudios Previos, Solicitud y Certificado de Disponibilidad Presupuestal, Formato único hoja de vida persona natural o de persona jurídica descargado de la página respectiva del Departamento Administrativo de la Función Pública validado, en el portal del SIGEP. (Según corresponda), Copia del documento de identidad (cedula de ciudadanía o el que corresponda) del futuro contratista o del representante legal, si es persona jurídica, (según corresponda), Copia de la libreta militar (Obligatorio para hombre menores de 50 años) o certificación de servicio militar (según el caso), Certificado de existencia y representación legal. (si aplica), Autorización de la Junta o órgano competente, para suscribir contratos. (si aplica), Copia de las certificaciones o actas de liquidación que acrediten la experiencia de la persona a contratar, Certificado de consulta de antecedentes de responsabilidad fiscal expedido por la Contraloría General de la República, Certificado de consulta de antecedentes disciplinarios expedido por la Procuraduría General de la Nación, Certificado de consulta de antecedentes judiciales expedido por la Policía Nacional de Colombia, Certificado del Registro de Medidas Correctivas expedido por la Policía Nacional de Colombia., Certificación de antecedentes disciplinarios expedida por el órgano competente, según profesión, Documento que acredite la afiliación y encontrase al día con el Sistema General de Seguridad Social Integral y/o constancia del último pago efectuado (Vigentes al momento de celebrar el contrato), Registro Único Tributario-RUT, Certificación Bancaria vigente, Declaración Juramentada de inhabilidades e incompatibilidades y conflicto de interés, Contrato – Cláusulas Adicionales al Contrato, Acuerdo de Confidencialidad (cuando aplique), Registro Presupuestal, Garantías y sus anexos, Aprobación de Garantías, Afiliación ARL, Comunicación al Supervisor o interventor, Acta de Inicio, Designación en cambios de Supervisión (cuando aplique), Órdenes de pago con Anexos (Certificado de Supervisión, Informe de actividades del contratista, Cuenta de Cobro o Factura si aplica, productos, (si aplica), Copia de la planilla de pago de aportes al sistema de seguridad social integral (salud, pensiones y ARL) o certificación del pago de los mismos.), Modificaciones contractuales (Adiciones, prórrogas, suspensión, reinicio, etc.) con sus respectivos soportes, Solicitud Cesión del Contrato y sus soportes, Solicitud Terminación Anticipada del Contrato y sus soportes, Certificación pago Final, Informe Final de Supervisión y Soportes, Acta de liquidación de mutuo acuerdo y sus soportes, o Acta de Cierre, según proceda. Todo lo anterior conforme con las TRD https://www.icfes.gov.co/web/guest/tablas-de-retencion-documental.",Español,Físico -Electrónico- Digital,Texto,Disponible,N/A,N/A
Instrumentos de Control de Viáticos,"Describe la base de datos, donde se controlan las solicitudes nacionales e internacionales de viáticos para funcionarios y Gastos de viaje para contratistas, que solicitan las áreas internas del Instituto, documentando en dicha base fechas de solicitud del viaje, nombre del colaborador, fecha de ida y de regreso, jefe inmediato o supervisor y fecha de legalización. Dentro de los registros de los instrumentos de control utilizados se encuentran los siguientes: Formato solicitud de viáticos, Cumplido de comisión y Comisión reconocimiento",Español,Físico -Electrónico- Digital,Bases de datos,Disponible,Archivos digitales Profesional de Viáticos.,N/A
Contratos de Financiación de Proyectos de Investigación,"Este activo de información se encuentra en expediente conformado por los siguientes tipos documentales: Solicitud de contratación, Estudios Previos, Términos de referencia, Solicitud y Certificado de Disponibilidad Presupuestal, Formato único hoja de vida persona natural o de persona jurídica descargado de la página respectiva del Departamento Administrativo de la Función Pública validado en el portal del SIGEP. (Según corresponda), Copia del documento de identidad (cedula de ciudadanía o el que corresponda) del futuro contratista o del representante legal, si es persona jurídica, (según corresponda), Copia de la libreta militar (Obligatorio para hombre menores de 50 años) o certificación de servicio militar (según el caso), Certificado de existencia y representación legal. (si aplica), Autorización de la Junta o órgano competente, para suscribir contratos. (si aplica), Copia de tarjeta profesional y/o registro profesional, según el caso, Copia de la inscripción del título o registro profesional (profesiones relacionadas con el sistema de seguridad social en salud), Copia de los diplomas que acreditan los títulos académicos obtenidos (conforme al perfil requerido), Copia de las certificaciones o actas de liquidación que acrediten la experiencia de la persona a contratar, Certificado de consulta de antecedentes de responsabilidad fiscal expedido por la Contraloría General de la República, Certificado de consulta de antecedentes disciplinarios expedido por la Procuraduría General de la Nación, Certificado de consulta de antecedentes judiciales expedido por la Policía Nacional de Colombia, Certificado del Registro de Medidas Correctivas expedido por la Policía Nacional de Colombia, Certificación de antecedentes disciplinarios expedida por el órgano competente, según profesión, Documento que acredite la afiliación y encontrase al día con el Sistema General de Seguridad Social Integral y/o constancia del último pago efectuado (Vigentes al momento de celebrar el contrato), Registro Único Tributario-RUT, Certificación Bancaria vigente, Declaración Juramentada de inhabilidades e incompatibilidades y conflicto de interés, Contrato – Cláusulas Adicionales al Contrato, Acuerdo de Confidencialidad (cuando aplique), Registro Presupuestal, Garantías y sus anexos, Aprobación de Garantías, Comunicación al Supervisor o interventor, Acta de Inicio, Designación en cambios de Supervisión (cuando aplique), Órdenes de pago con Anexos (Certificado de Supervisión, Informe de actividades del contratista, Cuenta de Cobro o Factura si aplica, productos, (si aplica), Copia de la planilla de pago de aportes al sistema de seguridad social integral (salud, pensiones y ARL) o certificación del pago de los mismos.), Modificaciones contractuales (Adiciones, prórrogas, suspensión, reinicio, etc.) con sus respectivos soportes, Solicitud Cesión del Contrato y sus soportes, Solicitud Terminación Anticipada del Contrato y sus soportes, Certificación pago Final, Informe Final de Supervisión y Soportes. Acta de liquidación de mutuo acuerdo y sus soportes, o Acta de Cierre, según proceda. Todo lo anterior conforme con las TRD https://www.icfes.gov.co/web/guest/tablas-de-retencion-documental.",Español,Físico -Electrónico- Digital,Texto,Disponible,Archivo de Gestión y Archivo Central,N/A
Actas de Comité de bajas de Bienes e Inventarios,"Conforme a la Resolución 554 de 2016 de baja de activos propiedad del Icfes, de cada sesión del comité se elabora un acta donde se determinan las acciones y decisiones del comité para la pertinencia de retirar de los inventarios los bienes que ya han cumplido con su vida útil y por ende ya no son de utilidad para el instituto.",Español,Físico -Electrónico- Digital,Texto,Disponible,https://www.icfes.gov.co/web/guest/bajas-por-enajenacion-a-titulo-oneroso / https://www.icfes.gov.co/web/guest/bajas-por-enajenacion-a-titulo-gratuito,N/A
Contratos de Mantenimiento,"Este activo de información se encuentra en expediente conformado por los siguientes tipos documentales: Solicitud de contratación, Estudios Previos, Solicitud y Certificado de Disponibilidad Presupuestal, Autorización vigencias futuras (Si aplica), Formato único hoja de vida persona natural o de persona jurídica descargado de la página respectiva del Departamento Administrativo de la Función Pública validado en el portal del SIGEP. (Según corresponda), Copia del documento de identidad (cedula de ciudadanía o el que corresponda) del futuro contratista o del representante legal, si es persona jurídica, (según corresponda), Copia de la libreta militar (Obligatorio para hombre menores de 50 años) o certificación de servicio militar (según el caso), Certificado de existencia y representación legal. (si aplica), Autorización de la Junta o órgano competente, para suscribir contratos. (si aplica), Copia de tarjeta profesional y/o registro profesional, según el caso, Copia de la inscripción del título o registro profesional (profesiones relacionadas con el sistema de seguridad social en salud), Copia de los diplomas que acreditan los títulos académicos obtenidos (conforme al perfil requerido), Copia de las certificaciones o actas de liquidación que acrediten la experiencia de la persona a contratar, Certificado de consulta de antecedentes de responsabilidad fiscal expedido por la Contraloría General de la República, Certificado de consulta de antecedentes disciplinarios expedido por la Procuraduría General de la Nación, Certificado de consulta de antecedentes judiciales expedido por la Policía Nacional de Colombia, Certificado del Registro de Medidas Correctivas expedido por la Policía Nacional de Colombia, Certificación de antecedentes disciplinarios expedida por el órgano competente, según profesión. Documento que acredite la afiliación y encontrase al día con el Sistema General de Seguridad Social Integral y/o constancia del último pago efectuado (Vigentes al momento de celebrar el contrato), Registro Único Tributario-RUT, Certificación Bancaria vigente, Declaración Juramentada de inhabilidades e incompatibilidades y conflicto de interés, Contrato – Cláusulas Adicionales al Contrato, Acuerdo de Confidencialidad (cuando aplique), Registro Presupuestal, Garantías y sus anexos, Aprobación de Garantías, Comunicación al Supervisor o interventor, Acta de Inicio, Designación en cambios de Supervisión (cuando aplique), Ordenes de pago con Anexos (Certificado de Supervisión, Informe de actividades del contratista, Cuenta de Cobro o Factura si aplica, productos, (si aplica), Copia de la planilla de pago de aportes al sistema de seguridad social integral (salud, pensiones y ARL) o certificación del pago de los mismos., Modificaciones contractuales (Adiciones, prórrogas, suspensión, reinicio, etc.) con sus respectivos soportes, Solicitud Cesión del Contrato y sus soportes, Solicitud Terminación Anticipada del Contrato y sus soportes, Certificación pago Final, Informe Final de Supervisión y Soportes, Acta de liquidación de mutuo acuerdo y sus soportes, o Acta de Cierre, según proceda. Todo lo anterior conforme con las TRD https://www.icfes.gov.co/web/guest/tablas-de-retencion-documental.",Español,Físico -Electrónico- Digital,Texto,Disponible,N/A,N/A
Contratos de Obra,"Este activo de información se encuentra en expediente conformado por los siguientes tipos documentales: Solicitud de contratación, Estudios Previos, Estudio de viabilidad, Solicitud y Certificado de Disponibilidad Presupuestal, Autorización vigencias futuras (Si aplica), Formato único hoja de vida persona natural o de persona jurídica descargado de la página respectiva del Departamento Administrativo de la Función Pública validado en el portal del SIGEP. (Según corresponda), Copia del documento de identidad (cedula de ciudadanía o el que corresponda) del futuro contratista o del representante legal, si es persona jurídica, (según corresponda), Copia de la libreta militar (Obligatorio para hombre menores de 50 años) o certificación de servicio militar (según el caso), Certificado de existencia y representación legal. (si aplica), Autorización de la Junta o órgano competente, para suscribir contratos. (si aplica), Copia de tarjeta profesional y/o registro profesional, según el caso, Copia de la inscripción del título o registro profesional (profesiones relacionadas con el sistema de seguridad social en salud), Copia de los diplomas que acreditan los títulos académicos obtenidos (conforme al perfil requerido), Copia de las certificaciones o actas de liquidación que acrediten la experiencia de la persona a contratar, Certificado de consulta de antecedentes de responsabilidad fiscal expedido por la Contraloría General de la República, Certificado de consulta de antecedentes disciplinarios expedido por la Procuraduría General de la Nación, Certificado de consulta de antecedentes judiciales expedido por la Policía Nacional de Colombia, Certificado del Registro de Medidas Correctivas expedido por la Policía Nacional de Colombia, Certificación de antecedentes disciplinarios expedida por el órgano competente, según profesión, Documento que acredite la afiliación y encontrase al día con el Sistema General de Seguridad Social Integral y/o constancia del último pago efectuado (Vigentes al momento de celebrar el contrato), Registro Único Tributario-RUT, Certificación Bancaria vigente, Declaración Juramentada de inhabilidades e incompatibilidades y conflicto de interés, Contrato – Cláusulas Adicionales al Contrato. Acuerdo de Confidencialidad (cuando aplique), Registro Presupuestal, Garantías y sus anexos, Aprobación de Garantías, Comunicación al Supervisor o interventor, Acta de Inicio, Designación en cambios de Supervisión (cuando aplique), Órdenes de pago con Anexos (Certificado de Supervisión, Informe de actividades del contratista, Cuenta de Cobro o Factura si aplica, productos, (si aplica), Copia de la planilla de pago de aportes al sistema de seguridad social integral (salud, pensiones y ARL) o certificación del pago de los mismos.), Modificaciones contractuales (Adiciones, prórrogas, suspensión, reinicio, etc.) con sus respectivos soportes, Solicitud Cesión del Contrato y sus soportes, Solicitud Terminación Anticipada del Contrato y sus soportes, Certificación pago Final, Informe Final de Supervisión y Soportes, Acta de liquidación de mutuo acuerdo y sus soportes, o Acta de Cierre, según proceda. Todo lo anterior conforme con las TRD https://www.icfes.gov.co/web/guest/tablas-de-retencion-documental.",Español,Físico -Electrónico- Digital,Texto,Disponible,N/A,N/A
Contratos de Prestación de Servicios,"Este activo de información se encuentra en expediente conformado por los siguientes tipos documentales: Solicitud de contratación, Certificación Inexistencia o insuficiencia de personal, Estudios Previos, Solicitud y Certificado de Disponibilidad Presupuestal, Autorización vigencias futuras (Si aplica), Cuadro verificación experiencia, Formato único hoja de vida persona natural o de persona jurídica descargado de la página respectiva del Departamento Administrativo de la Función Pública validado en el portal del SIGEP. (Según corresponda), Copia del documento de identidad (cedula de ciudadanía o el que corresponda) del futuro contratista o del representante legal, si es persona jurídica, (según corresponda), Copia de la libreta militar (Obligatorio para hombre menores de 50 años) o certificación de servicio militar (según el caso), Certificado de existencia y representación legal. (si aplica), Autorización de la Junta o órgano competente, para suscribir contratos. (si aplica), Copia de tarjeta profesional y/o registro profesional, según el caso, Copia de la inscripción del título o registro profesional (profesiones relacionadas con el sistema de seguridad social en salud), Copia de los diplomas que acreditan los títulos académicos obtenidos (conforme al perfil requerido), Copia de las certificaciones o actas de liquidación que acrediten la experiencia de la persona a contratar, Certificado de consulta de antecedentes de responsabilidad fiscal expedido por la Contraloría General de la República, Certificado de consulta de antecedentes disciplinarios expedido por la Procuraduría General de la Nación, Certificado de consulta de antecedentes judiciales expedido por la Policía Nacional de Colombia, Certificado del Registro de Medidas Correctivas expedido por la Policía Nacional de Colombia, Certificación de antecedentes disciplinarios expedida por el órgano competente, según profesión, Documento que acredite la afiliación y encontrase al día con el Sistema General de Seguridad Social Integral y/o constancia del último pago efectuado (Vigentes al momento de celebrar el contrato), Registro Único Tributario-RUT, Certificación Bancaria vigente, Declaración Juramentada de inhabilidades e incompatibilidades y conflicto de interés, Contrato – Cláusulas Adicionales al Contrato, Acuerdo de Confidencialidad (cuando aplique), Registro Presupuestal, Garantías y sus anexos, Aprobación de Garantías, Comunicación al Supervisor o interventor, Acta de Inicio, Designación en cambios de Supervisión (cuando aplique), Órdenes de pago con Anexos (Certificado de Supervisión, Informe de actividades del contratista, Cuenta de Cobro o Factura si aplica, productos, (si aplica), Copia de la planilla de pago de aportes al sistema de seguridad social integral (salud, pensiones y ARL) o certificación del pago de los mismos.), Modificaciones contractuales (Adiciones, prórrogas, suspensión, reinicio, etc.) con sus respectivos soportes, Solicitud Cesión del Contrato y sus soportes, Solicitud Terminación Anticipada del Contrato y sus soportes, Certificación pago Final, Informe Final de Supervisión y Soportes, Acta de liquidación de mutuo acuerdo y sus soportes, o Acta de Cierre, según proceda. Todo lo anterior conforme con las TRD https://www.icfes.gov.co/web/guest/tablas-de-retencion-documental.",Español,Físico -Electrónico- Digital,Texto,Disponible,N/A,N/A
Contratos de Prestación de Servicios Profesionales y de Apoyo a la Gestión,"Este activo de información se encuentra en expediente conformado por los siguientes tipos documentales: Solicitud de contratación, Certificación Inexistencia o insuficiencia de personal, Certificación Decreto 1068 de 2015 - Objeto Igual, Estudios Previos, Solicitud y Certificado de Disponibilidad Presupuestal, Autorización vigencias futuras (Si aplica), Cuadro verificación experiencia, Formato único hoja de vida persona natural o de persona jurídica descargado de la página respectiva del Departamento Administrativo de la Función Pública validado en el portal del SIGEP. (Según corresponda), Copia del documento de identidad (cedula de ciudadanía o el que corresponda) del futuro contratista o del representante legal, si es persona jurídica, (según corresponda), Copia de la libreta militar (Obligatorio para hombre menores de 50 años) o certificación de servicio militar (según el caso), Certificado de existencia y representación legal. (si aplica), Autorización de la Junta o órgano competente, para suscribir contratos. (si aplica), Copia de tarjeta profesional y/o registro profesional, según el caso, Copia de la inscripción del título o registro profesional (profesiones relacionadas con el sistema de seguridad social en salud), Copia de los diplomas que acreditan los títulos académicos obtenidos (conforme al perfil requerido), Copia de las certificaciones o actas de liquidación que acrediten la experiencia de la persona a contratar, Certificado de consulta de antecedentes de responsabilidad fiscal expedido por la Contraloría General de la República. Certificado de consulta de antecedentes disciplinarios expedido por la Procuraduría General de la Nación, Certificado de consulta de antecedentes judiciales expedido por la Policía Nacional de Colombia, Certificado del Registro de Medidas Correctivas expedido por la Policía Nacional de Colombia, Certificación de antecedentes disciplinarios expedida por el órgano competente, según profesión, Documento que acredite la afiliación y encontrase al día con el Sistema General de Seguridad Social Integral y/o constancia del último pago efectuado (Vigentes al momento de celebrar el contrato), Registro Único Tributario-RUT, Certificación Bancaria vigente, Certificación examen médico pre ocupacional vigente. (no aplica para persona jurídica), Declaración Juramentada de inhabilidades e incompatibilidades y conflicto de interés, Contrato – Cláusulas Adicionales al Contrato, Acuerdo de Confidencialidad (cuando aplique), Registro Presupuestal, Garantías y sus anexos, Aprobación de Garantías, Afiliación ARL, Comunicación al Supervisor o interventor, Acta de Inicio, Designación en cambios de Supervisión (cuando aplique), Órdenes de pago con Anexos (Certificado de Supervisión, Informe de actividades del contratista, Cuenta de Cobro o Factura si aplica, productos, (si aplica), Copia de la planilla de pago de aportes al sistema de seguridad social integral (salud, pensiones y ARL) o certificación del pago de los mismos.), Modificaciones contractuales (Adiciones, prórrogas, suspensión, reinicio, etc.) con sus respectivos soportes, Solicitud Cesión del Contrato y sus soportes, Solicitud Terminación Anticipada del Contrato y sus soportes, Certificación pago Final, Informe Final de Supervisión y Soportes, Acta de liquidación de mutuo acuerdo y sus soportes, o Acta de Cierre, según proceda. Todo lo anterior conforme con las TRD https://www.icfes.gov.co/web/guest/tablas-de-retencion-documental.",Español,Físico -Electrónico- Digital,Texto,Disponible,N/A,N/A
Contratos de Suministro,"Este activo de información se encuentra en expediente conformado por los siguientes tipos documentales: Solicitud de contratación, Estudios Previos, Solicitud y Certificado de Disponibilidad Presupuestal, Autorización vigencias futuras (Si aplica), Formato único hoja de vida persona natural o de persona jurídica descargado de la página respectiva del Departamento Administrativo de la Función Pública validado en el portal del SIGEP. (Según corresponda), Copia del documento de identidad (cedula de ciudadanía o el que corresponda) del futuro contratista o del representante legal, si es persona jurídica, (según corresponda), Copia de la libreta militar (Obligatorio para hombre menores de 50 años) o certificación de servicio militar (según el caso), Certificado de existencia y representación legal. (si aplica), Autorización de la Junta o órgano competente, para suscribir contratos. (si aplica), Copia de las certificaciones o actas de liquidación que acrediten la experiencia de la persona a contratar, Certificado de consulta de antecedentes de responsabilidad fiscal expedido por la Contraloría General de la República, Certificado de consulta de antecedentes disciplinarios expedido por la Procuraduría General de la Nación, Certificado de consulta de antecedentes judiciales expedido por la Policía Nacional de Colombia, Certificado del Registro de Medidas Correctivas expedido por la Policía Nacional de Colombia, Certificación de antecedentes disciplinarios expedida por el órgano competente, según profesión, Documento que acredite la afiliación y encontrase al día con el Sistema General de Seguridad Social Integral y/o constancia del último pago efectuado (Vigentes al momento de celebrar el contrato), Registro Único Tributario-RUT, Certificación Bancaria vigente, Declaración Juramentada de inhabilidades e incompatibilidades y conflicto de interés, Contrato – Cláusulas Adicionales al Contrato, Acuerdo de Confidencialidad (cuando aplique), Registro Presupuestal, Garantías y sus anexos, Aprobación de Garantías, Comunicación al Supervisor o interventor, Acta de Inicio, Designación en cambios de Supervisión (cuando aplique), Órdenes de pago con Anexos (Certificado de Supervisión, Informe de actividades del contratista, Cuenta de Cobro o Factura si aplica, productos, (si aplica), Copia de la planilla de pago de aportes al sistema de seguridad social integral (salud, pensiones y ARL) o certificación del pago de los mismos.), Modificaciones contractuales (Adiciones, prórrogas, suspensión, reinicio, etc.) con sus respectivos soportes, Solicitud Cesión del Contrato y sus soportes, Solicitud Terminación Anticipada del Contrato y sus soportes, Certificación pago Final, Informe Final de Supervisión y Soportes, Acta de liquidación de mutuo acuerdo y sus soportes, o Acta de Cierre, según proceda. Todo lo anterior conforme con las TRD https://www.icfes.gov.co/web/guest/tablas-de-retencion-documental.",Español,Físico -Electrónico- Digital,Texto,Disponible,N/A,N/A
Contratos Interadministrativos,"Este activo de información se encuentra en expediente conformado por los siguientes tipos documentales: Anexo técnico, invitación a presentar oferta, oferta del Icfes, fotocopia documentos de identificación del representante legal del contratante, documentos de representante legal del contratante (acta de posesión, nombramiento, resolución de delegación ó similares), contrato / convenio, designación supervisión, acta de inicio, informes, adición /prorroga / modificación, remisión al supervisor, adiciones o prorrogas, remisión al supervisor, remisión al supervisor, balance financiero, acta de terminación, acta de liquidación. Todo lo anterior conforme con las TRD https://www.icfes.gov.co/web/guest/tablas-de-retencion-documental.",Español,Físico -Electrónico- Digital,Texto,Disponible,N/A,N/A
Convenios de Cooperación Nacional,"Este activo de información se encuentra en expediente conformado por los siguientes tipos documentales: Anexo técnico, invitación a presentar oferta, oferta del Icfes, fotocopia documentos de identificación del representante legal del contratante, documentos de representante legal del contratante (acta de posesión, nombramiento, resolución de delegación ó similares), contrato / convenio, designación supervisión, acta de inicio, informes, adición /prorroga / modificación, remisión al supervisor, adiciones o prorrogas, remisión al supervisor, remisión al supervisor, balance financiero, acta de terminación, acta de liquidación. Todo lo anterior conforme con las TRD https://www.icfes.gov.co/web/guest/tablas-de-retencion-documental.",Español,Físico -Electrónico- Digital,Texto,Disponible,N/A,N/A
Actas de comités primario y contratación,"Este activo de información se encuentra conformado por: Acta y lista de asistencia, citación cesión de comité de contratación, Ficha para comité de contratación, y voto electrónico (cuando se requiera).",Español,Físico -Electrónico- Digital,Texto,Disponible,N/A,N/A
Instrumentos de Control de Evaluación de Impactos Ambientales,"Este activos se encuentra compuesto por los siguientes instrumentos: Matriz de evaluación de aspectos ambientales: herramienta de análisis cualitativo que estudia el comportamiento de los aspectos ambientales para la toma de decisiones y la planificación ambiental. Planilla RH 1: es el mecanismo mediante el cual los generadores consignan la información correspondiente a las cantidades en peso (Kg) y el manejo que realiza a cada uno de los residuos generados, contemplando residuos de tipo aprovechable, ordinario y peligrosos. Manifiestos de Entrega de Residuos: Documento en el cual se registran las cantidades en Kg de los residuos generados y entregados a gestor externo, el cual deben conservar los generadores durante un periodo de 5 años.",Español,Físico -Electrónico- Digital,Bases de datos,Disponible,Archivo de Gestión Subdirecciòn de Abastecimiento y Servicios Generales,N/A
Procesos de Selección Contractual declarado fallido,Los procesos de selección se adelantaran de conformidad con el manual de contratación vigente y el repositorio documental de los expedientes serán de conformidad con las listas de chequeo vigentes por modalidad. Todo lo anterior conforme con las TRD https://www.icfes.gov.co/web/guest/tablas-de-retencion-documental.,Español,Físico -Electrónico- Digital,Texto,Disponible,Archivo de gestión - Archivo Central - página Web - Herramienta de Colombia compra eficiente,N/A
Planes Anuales de Adquisiciones,"Este activo permiten identificar, registrar, programar y divulgar las necesidades de bienes, obras y servicios de la entidad, permitiendo diseñar estrategias de contratación basadas en agregación de la demanda, que permitan incrementar la eficiencia del proceso de contratación y el avance de los logros y objetivos propuestos.",Español,Físico -Electrónico- Digital,Hoja de cálculo,Publicada,Archivos digitales del Profesional del Plan Anual de Adquisiciones de la Subdirecciòn de Abastecimiento y Servicios Generales,https://www.icfes.gov.co/web/guest/transparencia-plan-anual-de-adquisisiones
Plan de residuos peligrosos,"El Plan de Gestión Integral de Residuos Peligrosos –PGIRP- además de ser una obligación legal, constituye una herramienta de planeación y gestión que permite a la entidad identificar los tipos de residuos peligrosos que genera y su cantidad durante el desarrollo de las actividades administrativas y misionales; con el objeto de poder realizar una reducción en la fuente a través de las diferentes alternativas de prevención y minimización, garantizando su adecuada disposición final. Este plan contiene: prevención y minimización de los residuos peligrosos, manejo interno ambientalmente seguro, manejo externo ambientalmente seguro, ejecución, seguimiento y evaluación.",Español,Físico -Electrónico- Digital,Texto,Disponible,Archivo de gestión Subdirecciòn de Abastecimiento y Servicios Generales,N/A
Programas de Gestión Ambiental,"Los programas ambientales contienen de manera detallada las acciones que se requieren para prevenir, mitigar, controlar, compensar y corregir los posibles efectos o impactos ambientales negativos causados en desarrollo las actividades diarias administrativas y misionales de la Institución.",Español,Físico -Electrónico- Digital,Texto,Disponible,Archivo de Gestión del profesional de Gestión Ambiental de la Subdirección de Abastecimiento y Servicios Generales,N/A
Informes a entidades de vigilancia y control ambiental,"Actas de visita e informes técnicos por entes de control y vigilancia en cumplimiento normativo ambiental, dentro de las referencias normativas que se tienen en cuenta en el seguimiento se relacionan las siguientes: Gestión Integral de Residuos: se evalúan, Decreto 596 de 2016, Resolución 1362 de 2007, Decreto 1076 de 2015, Ley 1252 de 2008, Resolución 1023 de 2005, Decreto 1079 de 2015, entre otras normas. Publicidad Exterior visual: conforme a las Resolución 931 de 2008 y Resolución 5572 de 2009. Vertimientos: de acuerdo a la Resolución 631 de 2015 y Resolución 3957 de 2009.",Español,Físico -Electrónico- Digital,Texto,Disponible,Archivo de Gestión del profesional de Gestión Ambiental de la Subdirección de Abastecimiento y Servicios Generales,N/A
Historiales de vehículos,"Este activo se encuentra en expedientes conformados por los siguientes documentos: Tarjeta de propiedad del vehículo, certificado individual de aduanas, factura de venta, acta inventario de entrega, certificado de tradición vehículo, declaración de autoliquidación electrónica con asistencia impuesto vehículos, informe de avalúo comercial, mantenimiento preventivo de vehículo, concepto técnico vehículo, formulario de solicitud de trámites del registro nacional automotor, tarjeta de seguro SOAT, póliza para vehículo.",Español,Físico,Texto,Disponible,Archivo de Gestión del Coordinador de Servicios Generales de la Subdirección de Abastecimiento y Servicios Generales,N/A
